date,avg_sentiment
2022-10-01,0.5348444444444445
2022-10-02,0.1562888888888889
2022-10-03,0.15015
2022-10-04,0.75434
2022-10-05,0.47595
2022-10-06,-0.03216428571428571
2022-10-07,0.5183
2022-10-08,0.6725142857142857
2022-10-09,-0.2586333333333333
2022-10-10,0.6376615384615385
2022-10-11,-0.16561904761904764
2022-10-12,0.1272625
2022-10-13,0.30724444444444443
2022-10-14,-0.2228272727272727
2022-10-15,0.27698999999999996
2022-10-16,0.5108333333333334
2022-10-17,0.6069769230769231
2022-10-18,0.1887333333333333
2022-10-19,0.545088888888889
2022-10-20,0.33920666666666666
2022-10-21,-0.057640000000000004
2022-10-22,0.7944
2022-10-23,0.2118142857142857
2022-10-24,0.28652
2022-10-25,0.7712727272727272
2022-10-26,0.9901666666666666
2022-10-27,0.5598529411764706
2022-10-28,0.6749538461538461
2022-10-29,0.8353
2022-10-30,0.6955857142857143
2022-10-31,0.28398181818181817
2022-11-01,0.36996
2022-11-02,0.4294
2022-11-03,0.14889999999999998
2022-11-04,0.5425500000000001
2022-11-05,-0.03453333333333334
2022-11-06,0.90055
2022-11-07,0.59365
2022-11-08,0.5540833333333334
2022-11-09,0.4042636363636364
2022-11-10,0.57038
2022-11-11,0.027699999999999985
2022-11-12,0.65485
2022-11-13,-0.13699999999999998
2022-11-14,0.25700833333333334
2022-11-15,0.20602352941176472
2022-11-16,0.24668947368421054
2022-11-17,0.11503157894736842
2022-11-18,0.0931
2022-11-19,0.5461199999999999
2022-11-20,0.9669833333333333
2022-11-21,0.4686363636363637
2022-11-22,0.7755363636363637
2022-11-23,0.4380071428571429
2022-11-24,0.6064133333333334
2022-11-25,0.3116111111111111
2022-11-26,0.9931749999999999
2022-11-27,0.41207777777777777
2022-11-28,0.2752142857142857
2022-11-29,0.38007058823529416
2022-11-30,0.5191529411764706
2022-12-01,0.5131928571428571
2022-12-02,-0.060250000000000005
2022-12-03,-0.12617142857142855
2022-12-04,0.06552000000000002
2022-12-05,0.37360909090909095
2022-12-06,0.11052857142857143
2022-12-07,0.622975
2022-12-08,0.2860785714285714
2022-12-09,-0.017127272727272717
2022-12-10,0.8932
2022-12-11,-0.13332000000000002
2022-12-12,0.4929125
2022-12-13,-0.10051764705882353
2022-12-14,0.17827142857142858
2022-12-15,0.3319666666666667
2022-12-16,0.6532428571428571
2022-12-17,0.30475714285714284
2022-12-18,-0.5713
2022-12-19,0.2268375
2022-12-20,0.3604692307692308
2022-12-21,-0.29000000000000004
2022-12-22,0.07388333333333333
2022-12-23,0.18730000000000002
2022-12-24,0.425
2022-12-25,0.32865
2022-12-26,0.15871428571428572
2022-12-27,0.6165625
2022-12-28,0.39385714285714285
2022-12-29,0.3642142857142857
2022-12-30,-0.11000909090909089
2022-12-31,0.9963333333333333
2023-01-01,0.370825
2023-01-02,0.2602
2023-01-03,0.4880714285714286
2023-01-04,0.5319428571428572
2023-01-05,0.24375454545454547
2023-01-06,0.8387600000000001
2023-01-07,0.99045
2023-01-08,0.5537666666666667
2023-01-09,0.627125
2023-01-10,0.6054545454545455
2023-01-11,0.07551578947368422
2023-01-12,0.23024000000000003
2023-01-13,0.11924166666666665
2023-01-14,0.9611000000000001
2023-01-15,0.38562
2023-01-16,0.42914545454545455
2023-01-17,0.5229384615384615
2023-01-18,0.26450666666666667
2023-01-19,0.38613125000000004
2023-01-20,0.19025454545454545
2023-01-21,0.93215
2023-01-22,0.6927571428571427
2023-01-23,0.4744333333333333
2023-01-24,0.5742538461538461
2023-01-25,0.5501727272727273
2023-01-26,0.6840285714285714
2023-01-27,0.8312142857142858
2023-01-28,-0.5862999999999999
2023-01-29,0.20864000000000002
2023-01-30,0.42452
2023-01-31,0.3719888888888889
2023-02-01,0.67012
2023-02-02,0.3521111111111111
2023-02-03,0.4592727272727272
2023-02-04,0.9317
2023-02-05,0.2102333333333333
2023-02-06,0.48274545454545453
2023-02-07,0.72638
2023-02-08,0.22969166666666663
2023-02-09,0.82965
2023-02-10,-0.62065
2023-02-11,0.9722999999999999
2023-02-12,0.25468
2023-02-13,0.4149416666666667
2023-02-14,0.6605666666666666
2023-02-15,0.44176875
2023-02-16,0.6080384615384615
2023-02-17,0.32453333333333334
2023-02-18,0.43684999999999996
2023-02-19,0.06243333333333332
2023-02-20,0.4635
2023-02-21,0.14937333333333333
2023-02-22,0.5589533333333333
2023-02-23,0.4894578947368421
2023-02-24,0.6982333333333334
2023-02-25,0.9928
2023-02-26,0.10137999999999998
2023-02-27,0.8358777777777777
2023-02-28,0.8545777777777778
2023-03-01,0.5633285714285714
2023-03-02,0.48519999999999996
2023-03-03,-0.003579999999999994
2023-03-04,0.56794
2023-03-05,0.34515
2023-03-06,0.8025
2023-03-07,0.6141277777777777
2023-03-08,0.52984
2023-03-09,0.503909090909091
2023-03-10,0.5420166666666667
2023-03-11,0.40952500000000003
2023-03-12,0.3705083333333334
2023-03-13,0.4215777777777778
2023-03-14,0.11759333333333334
2023-03-15,0.18304166666666666
2023-03-16,0.42159375
2023-03-17,-0.0663409090909091
2023-03-18,0.3541
2023-03-19,0.025399999999999995
2023-03-20,0.6077866666666666
2023-03-21,0.7388909090909092
2023-03-22,0.2253
2023-03-23,0.5431
2023-03-24,0.5797857142857142
2023-03-25,0.35346666666666665
2023-03-26,-0.19775714285714288
2023-03-27,0.1717
2023-03-28,-0.11488888888888887
2023-03-29,0.4385181818181818
2023-03-30,0.7213083333333333
2023-03-31,0.7491636363636364
2023-04-01,0.2926714285714286
2023-04-02,-0.02981999999999998
2023-04-03,0.15618
